Name,AUID,Coords,Const,Type,Period,Mag
"KELT KJ06C001078","--","06 59 36.10 +01 04 05.6","Mon","EA","18.7956","7.94 (0.009) V"
"KELT KJ06C001172","--","08 00 22.50 +03 14 56.2","CMi","EA","7.51559","7.92 (0.006) V"
"KELT KJ06C005028","--","07 13 58.30 -07 19 39.9","Mon","EA","24.9285","9.07 (0.005)Ic V"
"KELT KJ06C005399","--","07 00 10.00 +09 00 17.1","Mon","EA","6.82803","9.32 (0.006) V"
"KELT KJ06C008731","--","07 27 05.90 +00 07 16.9","CMi","EA","31.8937","9.81 (0.020) V"
"KELT KJ06C013375","--","07 55 51.50 -07 52 58.4","Mon","EA","9.76019","10.17 (0.010) V"
"KELT KJ06C017506","--","07 11 01.50 -08 45 44.8","Mon","EA","1.131319","10.66 (0.009) V"
"KELT KJ06C017652","--","07 09 58.20 +00 38 44.0","Mon","EA","1.8149755","10.80 (0.011) V"
"KELT KJ06C018019","--","07 43 40.50 +04 49 45.2","CMi","EA","2.1954398","10.69 (0.020) V"
"KELT KJ06C018986","--","07 14 22.70 -00 42 12.6","Mon","EA","6.84669","10.72 (0.009)i' V"
"KELT KJ06C019953","--","08 00 14.00 +07 06 38.5","CMi","EA","0.6348532","11.28 (0.016)i V"
"KELT KJ06C027510","--","07 17 37.30 +01 44 01.9","CMi","EA","2.21975","10.95 (0.008) V"
"KELT KJ06C036660","--","07 48 47.40 +02 53 29.4","CMi","EA","1.46001","11.21 (0.007) V"
"KELT KJ06C038174","--","06 56 26.70 +12 15 24.5","Gem","EA","1.655398","11.43 (0.014)g' V"
"KELT KJ06C041737","--","07 41 39.60 -04 47 08.9","Mon","EA","3.204201","11.38 (0.012)R V"
"KELT KJ06C043751","--","07 11 33.00 +08 22 16.5","CMi","EA","1.834092","11.90 (0.024) V"
"KELT KJ06C052924","--","07 43 11.10 +00 45 14.3","CMi","EA","3.328916","11.98 (0.015) V"
"KELT KJ06C053686","--","07 19 46.20 +10 13 41.5","CMi","EA","19.5253","11.57 (0.018) V"
"KELT KJ06C053756","--","07 09 40.70 -04 27 37.6","Mon","EA","0.8341575","11.24 (0.011)I V"
"KELT KJ06C057724","--","07 34 14.30 +14 56 44.6","Gem","EA","2.676251","11.85 (0.019) V"
"KELT KJ06C059566","--","07 02 20.50 +04 20 57.3","Mon","EA","1.292033","11.90 (0.015) V"
"KELT KJ06C082771","--","07 08 38.80 +00 55 03.7","Mon","EA","2.760408","11.57 (0.027) V"
"KELT KN11_lc_012785_V01_e","--","18 53 10.19 +08 18 18.0","Aql","EA","1.53066847","11.64 (0.010) V"
